1,2,268
1,8,963
1,10,872
1,12,805
1,13,8
1,14,561
1,17,738
1,18,212
1,21,18
1,22,310
1,23,794
1,24,585
1,27,165
1,30,80
1,32,980
1,33,89
1,34,50
1,35,600
1,36,368
1,38,717
1,39,550
1,40,830
1,43,160
1,45,855
1,46,44
1,48,526
1,50,845
1,51,549
1,52,9
1,53,645
1,57,439
1,60,806
1,67,581
1,69,299
1,70,391
1,74,350
1,79,229
1,80,779
1,86,420
1,88,400
1,92,545
1,94,556
1,95,88
1,98,391
1,103,380
1,113,845
1,115,402
1,118,929
1,120,465
1,123,329
1,128,904
1,130,905
1,131,520
1,132,674
1,134,865
1,138,729
1,139,338
1,141,442
1,147,587
1,148,407
1,153,547
1,162,979
1,165,87
1,170,196
1,181,336
1,192,440
1,199,153
1,201,191
1,202,690
1,207,869
1,209,383
1,216,955
1,218,843
1,219,843
1,227,440
1,229,898
1,233,629
1,234,648
1,236,16
1,241,632
1,242,740
1,244,372
1,246,882
1,247,684
1,252,724
1,256,932
1,257,880
1,263,900
1,266,962
1,271,157
1,275,20
1,281,335
1,288,595
1,294,213
1,295,635
1,300,244
1,301,52
1,308,772
1,313,733
1,314,726
1,315,553
1,320,479
1,322,889
1,336,389
1,337,616
1,340,855
1,341,910
1,343,216
1,350,850
1,351,748
1,355,30
1,358,118
1,362,582
1,365,987
1,367,338
1,369,831
1,375,12
1,379,289
1,381,734
1,386,31
1,394,363
1,396,437
1,397,724
1,399,349
1,400,328
1,401,898
1,408,110
1,411,733
1,413,861
1,414,955
1,417,260
1,419,624
1,421,828
1,424,464
1,427,330
1,430,801
1,434,697
1,440,918
1,441,216
1,442,463
1,447,578
1,452,419
1,453,868
1,464,933
1,466,566
1,467,842
1,470,737
1,472,947
1,473,721
1,474,492
1,476,350
1,478,84
1,483,649
1,484,41
1,488,356
1,489,944
1,491,483
1,492,779
1,495,628
1,496,709
1,498,98
1,502,521
1,503,701
1,504,729
1,509,385
1,512,907
1,513,315
1,514,633
1,516,595
1,518,733
1,519,927
1,535,763
1,546,578
1,550,673
1,553,961
1,555,814
1,558,993
1,565,19
1,566,462
1,568,318
1,570,769
1,571,875
1,574,373
1,575,607
1,576,629
1,577,552
1,585,334
1,588,870
1,589,510
1,590,279
1,592,585
1,595,134
1,602,656
1,605,584
1,607,848
1,610,644
1,613,771
1,615,956
1,618,528
1,619,645
1,621,569
1,623,898
1,625,422
1,632,267
1,635,99
1,636,788
1,638,437
1,640,732
1,643,959
1,644,600
1,655,526
1,658,323
1,660,56
1,662,203
1,666,914
1,667,543
1,669,12
1,670,582
1,675,561
1,680,251
1,682,727
1,686,601
1,689,957
1,690,923
1,691,584
1,692,731
1,693,714
1,695,624
1,698,542
1,699,673
1,701,116
1,707,628
1,714,502
1,717,302
1,723,776
1,725,756
1,734,977
1,735,130
1,737,584
1,739,941
1,741,826
1,742,423
1,743,220
1,746,223
1,748,409
1,749,528
1,753,315
1,754,431
1,755,736
1,762,466
